quote,cited
Ensemble convolutional neural networks for pose estimation.,A fast graphics printing program for neurophysiological data.
Ensemble convolutional neural networks for pose estimation.,A DEA approach for evaluating the efficiency and effectiveness of urban transit systems.
Ensemble convolutional neural networks for pose estimation.,Particle Swarm Optimization With Interswarm Interactive Learning Strategy.
Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.,Which security policies are enforceable by runtime monitors? A survey.
Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.,Human-computer interaction and standardization.
Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.,An iterative approach for sparse direction-of-arrival estimation in co-prime arrays with off-grid targets.
Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.,A serial inventory system with supplier selection and order quantity allocation.
Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.,On the Declarative Specification of Models.
Blockchain Standard: Can We Reach Consensus?,Mercer and Wu-Srivastava generalisations of Steffensen's inequality.
Blockchain Standard: Can We Reach Consensus?,A martingale Kronecker lemma and parameter estimation for linear systems.
Blockchain Standard: Can We Reach Consensus?,Business pluralism of electronic prescriptions: state of development in Europe and the USA.
Blockchain Standard: Can We Reach Consensus?,TCP Pegas: A PSO-based improvement over TCP Vegas.
Blockchain Standard: Can We Reach Consensus?,An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.
DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.,Modular Simulation-Based Physical and Emotional Assessment of Ambient Intelligence in Traffic.
DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.,Book Review of Silicon Second Nature: Culturing Artifical Life in a Digital World by Stefan Helmreich.
DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.,Using Reputation Systems and Non-Deterministic Routing to Secure Wireless Sensor Networks.
DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.,Digital Earth: a new challenge and new vision.
Stability of Non-constant Equilibrium Solutions for Bipolar Full Compressible Navier-Stokes-Maxwell Systems.,Mixing network coding and cooperation for reliable wireless communications.
Stability of Non-constant Equilibrium Solutions for Bipolar Full Compressible Navier-Stokes-Maxwell Systems.,G-stack modulated probe intensities on expression arrays - sequence corrections and signal calibration.
Stability of Non-constant Equilibrium Solutions for Bipolar Full Compressible Navier-Stokes-Maxwell Systems.,Dissociated multi-unit activity and local field potentials: A theory inspired analysis of a motor decision task.
Stability of Non-constant Equilibrium Solutions for Bipolar Full Compressible Navier-Stokes-Maxwell Systems.,The effects of transparency on trust in and acceptance of a content-based art recommender.
Stability of Non-constant Equilibrium Solutions for Bipolar Full Compressible Navier-Stokes-Maxwell Systems.,An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.
Improved monarch butterfly optimization for unconstrained global search and neural network training.,Coincidence of cooperative game theoretic solutions in the appointment problem.
Improved monarch butterfly optimization for unconstrained global search and neural network training.,Minimax Probability TSK Fuzzy System Classifier: A More Transparent and Highly Interpretable Classification Model.
Improved monarch butterfly optimization for unconstrained global search and neural network training.,Pulsar: A resource-control architecture for time-critical service-oriented applications.
Improved monarch butterfly optimization for unconstrained global search and neural network training.,UCL facsimile system.
Improved monarch butterfly optimization for unconstrained global search and neural network training.,Knightian decision theory and econometric inferences.
Financial equilibrium with asymmetric information and random horizon.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
Financial equilibrium with asymmetric information and random horizon.,Prototyping: generating ideas or cargo cult designs?
Financial equilibrium with asymmetric information and random horizon.,Optimal policies with decreasing probability of imperfect maintenance.
Financial equilibrium with asymmetric information and random horizon.,Weighted and Controlled Frames: Mutual Relationship and First Numerical Properties.
Financial equilibrium with asymmetric information and random horizon.,Faster Similarity Search for Multimedia Data Via Query Transformations.
Energy Efficient Reservation-Based Cluster Head Selection in WSNs.,On weighted unbalanced linguistic aggregation operators in group decision making.
Energy Efficient Reservation-Based Cluster Head Selection in WSNs.,A deployment methodology of real-time industrial control applications in distributed controllers.
Energy Efficient Reservation-Based Cluster Head Selection in WSNs.,Supposed maximum information for comprehensible representations in SOM.
Energy Efficient Reservation-Based Cluster Head Selection in WSNs.,A library network model.
Energy Efficient Reservation-Based Cluster Head Selection in WSNs.,Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.
Annotating and modeling empathy in spoken conversations.,Real-time multiview data fusion for object tracking with RGBD sensors.
Annotating and modeling empathy in spoken conversations.,A library network model.
Annotating and modeling empathy in spoken conversations.,Trading rule discovery in the US stock market: An empirical study.
Annotating and modeling empathy in spoken conversations.,A Novel Process Network Model for Interacting Context-Aware Web Services.
Annotating and modeling empathy in spoken conversations.,基于时变加权马尔科夫链的网络异常检测模型 (Network Anomaly Detection Model Based on Time-varying Weighted Markov Chain).
An Efficient Hyperspectral Image Retrieval Method: Deep Spectral-Spatial Feature Extraction with DCGAN and Dimensionality Reduction Using ,Relativistic Effects in Bistatic Synthetic Aperture Radar.
An Efficient Hyperspectral Image Retrieval Method: Deep Spectral-Spatial Feature Extraction with DCGAN and Dimensionality Reduction Using ,Basic Difference Between Brain and Computer: Integration of Asynchronous Processes Implemented as Hardware Model of the Retina.
An Efficient Hyperspectral Image Retrieval Method: Deep Spectral-Spatial Feature Extraction with DCGAN and Dimensionality Reduction Using ,Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.
An Efficient Hyperspectral Image Retrieval Method: Deep Spectral-Spatial Feature Extraction with DCGAN and Dimensionality Reduction Using ,Reports on the AAAI 1999 Workshop Program.
An Efficient Hyperspectral Image Retrieval Method: Deep Spectral-Spatial Feature Extraction with DCGAN and Dimensionality Reduction Using ,A Smart Work Performance Measurement System for Police Officers.
A mixed mimetic spectral element model of the rotating shallow water equations on the cubed sphere.,Social Media: An Eccentric Business Communication Tool for the 21st Century Marketers.
